gc_id,act_date,sim_season,sim_week,sim_date,exp_day,set_max,set_min,set_mean,hrs_light,,,,,,,,,,,,
control,18-May-25,summer,week 6,08-Jul,38,12,7,10,24,,,,,,,,,,,,
control,19-May-25,summer,week 6,09-Jul,39,12,7,10,24,,,,,,,,,,,,
control,20-May-25,summer,week 6,10-Jul,40,12,7,10,24,,,,,,,,,,,,
control,21-May-25,summer,week 6,11-Jul,41,12,7,10,24,,,,,,,,,,,,
control,22-May-25,summer,week 6,12-Jul,42,12,7,10,24,,,,,,,,,,,,
control,23-May-25,summer,week 7,13-Jul,43,12,7,10,24,,,,,,,,,,,,
control,24-May-25,summer,week 7,14-Jul,44,12,7,10,24,,,,,,,,,,,,
control,25-May-25,summer,week 7,15-Jul,45,12,7,10,24,,,,,,,,,,,,
control,26-May-25,summer,week 7,16-Jul,46,12,7,10,24,,,,,,,,,,,,
control,27-May-25,summer,week 7,17-Jul,47,12,7,10,24,,,,,,,,,,,,
control,28-May-25,summer,week 7,18-Jul,48,12,7,10,24,,,,,,,,,,,,
control,29-May-25,summer,week 7,19-Jul,49,12,7,10,24,,,,,,,,,,,,
control,30-May-25,summer,week 8,20-Jul,50,12,7,10,24,,,,,,,,,,,,
control,31-May-25,summer,week 8,21-Jul,51,12,7,10,24,,,,,,,,,,,,
control,01-Jun-25,summer,week 8,22-Jul,52,12,7,10,24,,,,,,,,,,,,
control,02-Jun-25,summer,week 8,23-Jul,53,12,7,10,24,,,,,,,,,,,,
control,03-Jun-25,summer,week 8,24-Jul,54,12,7,10,24,,,,,,,,,,,,
control,04-Jun-25,summer,week 8,25-Jul,55,12,7,10,24,,,,,,,,,,,,
control,05-Jun-25,summer,week 8,26-Jul,56,12,7,10,24,,,,,,,,,,,,
control,06-Jun-25,summer,week 9,27-Jul,57,12,7,10,24,,,,,,,,,,,,
control,07-Jun-25,summer,week 9,28-Jul,58,12,7,10,24,,,,,,,,,,,,
control,08-Jun-25,summer,week 9,29-Jul,59,12,7,10,24,,,,,,,,,,,,
control,09-Jun-25,summer,week 9,30-Jul,60,12,7,10,24,,,,,,,,,,,,
control,10-Jun-25,summer,week 9,31-Jul,61,12,7,10,24,,,,,,,,,,,,
control,11-Jun-25,summer,week 9,01-Aug,62,12,7,10,24,,,,,,,,,,,,
control,12-Jun-25,summer,week 9,02-Aug,63,12,7,10,24,,,,,,,,,,,,
control,13-Jun-25,summer,week 10,03-Aug,64,12,7,10,24,,,,,,,,,,,,
control,14-Jun-25,summer,week 10,04-Aug,65,12,7,10,24,,,,,,,,,,,,
control,15-Jun-25,summer,week 10,05-Aug,66,12,7,10,24,,,,,,,,,,,,
control,16-Jun-25,summer,week 10,06-Aug,67,12,7,10,24,,,,,,,,,,,,
control,17-Jun-25,summer,week 10,07-Aug,68,12,7,10,24,,,,,,,,,,,,
control,18-Jun-25,summer,week 10,08-Aug,69,12,7,10,24,,,,,,,,,,,,
control,19-Jun-25,summer,week 10,09-Aug,70,12,7,10,24,,,,,,,,,,,,
control,20-Jun-25,summer,week 11,10-Aug,71,12,7,10,24,,,,,,,,,,,,
control,21-Jun-25,summer,week 11,11-Aug,72,12,7,10,24,,,,,,,,,,,,
control,22-Jun-25,summer,week 11,12-Aug,73,12,7,10,24,,,,,,,,,,,,
control,23-Jun-25,summer,week 11,13-Aug,74,12,7,10,24,,,,,,,,,,,,
control,24-Jun-25,summer,week 11,14-Aug,75,12,7,10,24,,,,,,,,,,,,
control,25-Jun-25,summer,week 11,15-Aug,76,12,7,10,24,,,,,,,,,,,,
control,26-Jun-25,summer,week 11,16-Aug,77,12,7,10,24,,,,,,,,,,,,
control,27-Jun-25,autumn,week 12,17-Aug,78,10,4,6.625,3,,,,,,,,,,,,
control,28-Jun-25,autumn,week 12,18-Aug,79,10,4,6.625,3,,,,,,,,,,,,
control,29-Jun-25,autumn,week 12,19-Aug,80,10,4,6.625,3,,,,,,,,,,,,
control,30-Jun-25,autumn,week 12,20-Aug,81,10,4,6.625,3,,,,,,,,,,,,
control,01-Jul-25,autumn,week 12,21-Aug,82,10,4,6.625,3,,,,,,,,,,,,
control,02-Jul-25,autumn,week 12,22-Aug,83,10,4,6.625,21,,,,,,,,,,,,
control,03-Jul-25,autumn,week 12,23-Aug,84,10,4,6.625,21,,,,,,,,,,,,
control,04-Jul-25,autumn,week 13,24-Aug,85,10,4,6.625,21,,,,,,,,,,,,
control,05-Jul-25,autumn,week 13,25-Aug,86,10,4,6.625,21,,,,,,,,,,,,
control,06-Jul-25,autumn,week 13,26-Aug,87,10,4,6.625,21,,,,,,,,,,,,
control,07-Jul-25,autumn,week 13,27-Aug,88,10,4,6.625,21,,,,,,,,,,,,
control,08-Jul-25,autumn,week 13,28-Aug,89,10,4,6.625,21,,,,,,,,,,,,
control,09-Jul-25,autumn,week 13,29-Aug,90,8,3,4.75,18,,,,,,,,,,,,
control,10-Jul-25,autumn,week 13,30-Aug,91,8,3,4.75,18,,,,,,,,,,,,
control,11-Jul-25,autumn,week 14,31-Aug,92,8,3,4.75,18,,,,,,,,,,,,
control,12-Jul-25,autumn,week 14,01-Sep,93,8,3,4.75,18,,,,,,,,,,,,
control,13-Jul-25,autumn,week 14,02-Sep,94,8,3,4.75,18,,,,,,,,,,,,
control,14-Jul-25,autumn,week 14,03-Sep,95,8,3,4.75,18,,,,,,,,,,,,
control,15-Jul-25,autumn,week 14,04-Sep,96,8,3,4.75,18,,,,,,,,,,,,
control,16-Jul-25,autumn,week 14,05-Sep,97,6,1,2.5,15,,,,,,,,,,,,
control,17-Jul-25,autumn,week 14,06-Sep,98,6,1,2.5,15,,,,,,,,,,,,
control,18-Jul-25,autumn,week 15,07-Sep,99,6,1,2.5,15,,,,,,,,,,,,
control,19-Jul-25,autumn,week 15,08-Sep,100,6,1,2.5,15,,,,,,,,,,,,
control,20-Jul-25,autumn,week 15,09-Sep,101,6,1,2.5,15,,,,,,,,,,,,
control,21-Jul-25,autumn,week 15,10-Sep,102,6,1,2.5,15,,,,,,,,,,,,
control,22-Jul-25,autumn,week 15,11-Sep,103,6,1,2.5,15,,,,,,,,,,,,
control,23-Jul-25,autumn,week 15,12-Sep,104,3,-1,0.5,12,,,,,,,,,,,,
control,24-Jul-25,autumn,week 15,13-Sep,105,3,-1,0.5,12,,,,,,,,,,,,
control,25-Jul-25,autumn,week 16,14-Sep,106,3,-1,0.5,12,,,,,,,,,,,,
control,26-Jul-25,autumn,week 16,15-Sep,107,3,-1,0.5,12,,,,,,,,,,,,
control,27-Jul-25,autumn,week 16,16-Sep,108,3,-1,0.5,12,,,,,,,,,,,,
control,28-Jul-25,autumn,week 16,17-Sep,109,3,-1,0.5,12,,,,,,,,,,,,
control,29-Jul-25,autumn,week 16,18-Sep,110,3,-1,0.5,12,,,,,,,,,,,,
control,30-Jul-25,autumn,week 16,19-Sep,111,1,-3,-1.5,9,,,,,,,,,,,,
control,31-Jul-25,autumn,week 16,20-Sep,112,1,-3,-1.5,9,,,,,,,,,,,,
control,01-Aug-25,autumn,week 17,21-Sep,113,1,-3,-1.5,9,,,,,,,,,,,,
control,02-Aug-25,autumn,week 17,22-Sep,114,1,-3,-1.5,9,,,,,,,,,,,,
control,03-Aug-25,autumn,week 17,23-Sep,115,1,-3,-1.5,9,,,,,,,,,,,,
control,04-Aug-25,autumn,week 17,24-Sep,116,-20,-20,-20,0,,,,,,,,,,,,
control,05-Aug-25,autumn,week 17,25-Sep,117,-20,-20,-20,0,,,,,,,,,,,,
control,06-Aug-25,autumn,week 17,26-Sep,118,-20,-20,-20,0,,,,,,,,,,,,
control,07-Aug-25,autumn,week 17,27-Sep,119,-20,-20,-20,0,,,,,,,,,,,,
control,08-Aug-25,autumn,week 18,28-Sep,120,-20,-20,-20,0,,,,,,,,,,,,
control,09-Aug-25,autumn,week 18,29-Sep,121,-20,-20,-20,0,,,,,,,,,,,,
control,10-Aug-25,autumn,week 18,30-Sep,122,-20,-20,-20,0,,,,,,,,,,,,
control,11-Aug-25,autumn,week 18,01-Oct,123,-20,-20,-20,0,,,,,,,,,,,,
control,12-Aug-25,autumn,week 18,02-Oct,124,-20,-20,-20,0,,,,,,,,,,,,
control,13-Aug-25,autumn,week 18,03-Oct,125,-20,-20,-20,0,,,,,,,,,,,,
control,14-Aug-25,autumn,week 18,04-Oct,126,-20,-20,-20,0,,,,,,,,,,,,
control,15-Aug-25,autumn,week 19,05-Oct,127,-20,-20,-20,0,,,,,,,,,,,,
control,16-Aug-25,autumn,week 19,06-Oct,128,-20,-20,-20,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
